sketch_uploaded;consent;map_frame_created;map_frame_uuid;bbox;centroid;format;orientation;orientation_det
2024-08-16 00:03:04.986 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:31:47.055 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:31:54.341 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:33:17.333 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:33:22.786 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:35:26.417 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:36:31.506 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:38:19.332 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:40:39.403 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:42:12.151 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:42:25.284 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 00:44:17.797 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:06:21.577 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:12:34.344 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:14:27.257 +0200;false;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 01:15:20.266 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:17:32.015 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:20:09.340 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-16 01:21:01.370 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-18 11:12:02.895 +0200;true;2024-08-18 11:08:55.859;4b5440e2-4791-4398-92f2-51940b2cd753;POLYGON((82.81091457222958 27.490205901605435,82.82410037897291 27.490205901605435,82.82410037897291 27.49999585046183,82.81091457222958 27.49999585046183,82.81091457222958 27.490205901605435));POINT(82.81750747560125 27.49510098486003);a4;landscape;landscape
2024-08-19 00:03:36.921 +0200;false;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-19 00:05:48.998 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-19 00:07:34.167 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-19 00:08:48.504 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
